"pid","assessed_value"
1,649541.182586479
2,85823.1174610491
3,66987.597438019
4,159007.571374595
5,204832.018364794
6,276610.483795951
7,71067.988885516
8,105965.755414515
9,33732.8811399704
10,16391.061657157
11,151644.635924625
12,491704.177445463
13,373730.361799852
14,330564.509518022
15,39636.1651506667
16,311521.165802432
17,0
18,193824.748686261
19,88307.9761979659
20,135133.678868334
21,167711.888158625
22,110588.57946099
23,6312.69428909669
24,56359.4979636601
25,3862.88174100412
26,228900.09569257
27,27248.2924109948
28,216470.724033122
29,314080.51906418
30,263120.377248261
31,282695.415381282
32,40728.1899454975
33,476226.834944515
34,242974.390867902
35,300457.880289681
36,201666.921516137
37,155007.600165294
38,320127.948759682
39,395825.209594308
40,245518.492187668
41,213511.523424276
42,213538.884077226
43,37165.1828660874
44,417111.820576888
45,228581.447170666
46,152230.595498403
47,146113.620699104
48,269672.781839465
49,110733.276493956
50,291673.211448479
51,280640.12891742
52,49496.1462837051
53,9492.4532971764
54,264990.353997112
55,130638.729604672
56,117634.223317564
57,234861.619457227
58,19097.8737499273
59,107835.997706492
60,98714.5102723893
61,247186.271629716
62,169333.68499236
63,188290.583324129
64,692247.236807665
65,332823.072365022
66,250043.69475229
67,73592.8088874806
68,291331.323193143
69,447167.660063261
70,17294.2922746161
71,660570.326879547
72,235114.182166829
73,666724.29884981
74,150009.423789914
75,102996.685084836
76,83769.6771171586
77,165889.481195248
78,510662.418146552
79,170676.872158798
80,400784.621254632
81,213316.342871578
82,415496.613528923
83,353952.671418928
84,82854.8541503977
85,227990.408894525
86,126089.899285638
87,31509.6881966276
88,230479.481065586
89,83792.301952981
90,287347.268699211
91,35863.3837013611
92,177020.702570614
93,416254.458728914
94,0
95,120032.781646689
96,70973.1540640059
97,102836.859788609
98,227690.087187126
99,136853.611646885
100,117472.126586318
101,208027.673874311
102,448202.525418323
103,295482.037434489
104,419917.726136267
105,92155.0928868148
106,306611.565602956
107,42795.1261223251
108,60525.486967939
109,949210.85872414
110,241540.505906169
111,107663.735046796
112,155069.765664515
113,349642.142041811
114,323006.306141512
115,242190.138154201
116,168565.092320782
117,155469.724608041
118,207040.609922319
119,199269.049017879
120,384813.656946039
121,422000.679268681
122,87248.0160354534
123,299314.985123297
124,282476.813651704
125,0
126,541401.092325073
127,66879.4675754022
128,251030.023907099
129,411730.814242146
130,318123.034140818
131,186397.79754985
132,374304.370384693
133,108002.048722749
134,427846.482811483
135,242131.243910859
136,615271.038833196
137,209584.741837836
138,218028.970124197
139,266002.99607818
140,78181.0165707481
141,360986.398801726
142,275401.808250783
143,188588.609691449
144,208453.264574581
145,99196.1892311548
146,635949.459106554
147,353658.049222529
148,141078.096485421
149,92040.7398638386
150,721022.676836893
151,368897.435913969
152,94186.4315644641
153,253052.364670996
154,121141.373667687
155,512693.999885453
156,251160.58593556
157,193068.36893929
158,546.954987332283
159,110384.113500382
160,95814.2962609182
161,284649.312148365
162,122508.725114393
163,123708.702273009
164,455115.959226116
165,778199.228032109
166,421794.381655269
167,1109827.25350307
168,0
169,237319.894301452
170,517520.639310605
171,284832.40560169
172,265631.998123069
173,242413.867803374
174,203051.806553407
175,128547.698465
176,453269.549636929
177,165374.34701429
178,232892.034875134
179,171526.838836383
180,169526.310026112
181,33419.7803145763
182,149300.418088763
183,183695.18151361
184,84153.994681419
185,157220.420318767
186,186474.473197021
187,79535.8136956706
188,397279.053202702
189,225442.693022879
190,279826.677300531
191,74559.5562942224
192,65292.8726775564
193,69581.266914371
194,245279.700677989
195,293260.775224609
196,0
197,96547.1054993644
198,329670.538637859
199,226893.422252737
200,214076.30212446
201,144450.669812877
202,425802.055913491
203,351907.39129197
204,65042.5423699003
205,14546.2709171769
206,51931.7638826203
207,477263.584097087
208,136454.052264324
209,116007.738012797
210,358139.857927356
211,44297.8531493637
212,231496.791853361
213,181911.417232755
214,196492.021606337
215,38919.4270821572
216,69222.9374254309
217,193854.697577125
218,303376.236898597
219,847281.018076364
220,141413.139974407
221,214578.297593566
222,212888.33679052
223,1203817.19026587
224,314426.521670226
225,179572.798705574
226,247737.560750023
227,168569.862786899
228,230294.650085423
229,137360.337930916
230,168204.356292921
231,256015.483230222
232,74625.4504097671
233,133835.843247214
234,120943.454814043
235,376528.629753782
236,744840.891350979
237,233709.113083775
238,550548.879195943
239,66501.5837477786
240,1172380.19292491
241,199386.40981867
242,920878.077750193
243,147133.667711221
244,125255.773550915
245,390708.713753493
246,287141.855161245
247,104555.799609242
248,220056.088722332
249,138187.309207379
250,271028.147962672
251,123120.510429534
252,92240.4178475865
253,241539.052421528
254,233814.341075444
255,16879.6219346155
256,236581.505678497
257,301000.860845741
258,91964.5864957965
259,156452.130402714
260,173143.332072204
261,374278.627559674
262,159132.864800968
263,313971.302915766
264,411292.110094222
265,113597.406662038
266,172804.685893862
267,314355.582308216
268,232712.990834247
269,162138.559840424
270,475954.78715221
271,38340.5732832924
272,25854.4391405006
273,135362.152412046
274,56173.757532935
275,121491.870090007
276,292751.353655763
277,203240.684367628
278,216456.777434527
279,134603.457565721
280,379977.917778317
281,369786.205221519
282,176048.627434614
283,538471.2952886
284,255641.83068958
285,150719.933935511
286,129017.831238161
287,25526.2646633875
288,852704.782699657
289,562166.430819488
290,317811.064538273
291,65651.0594757876
292,207669.990427405
293,1370146.59251407
294,447183.43676906
295,190233.483825884
296,42100.1710550469
297,149632.949849283
298,34538.7194351291
299,132579.945288585
300,60864.1253245048
301,54428.219893069
302,349245.902366445
303,673996.041239407
304,388593.694917366
305,225390.921092254
306,268566.326213671
307,457165.087738332
308,102134.204961108
309,244273.213133398
310,84314.6939034589
311,465749.832174221
312,303244.756398909
313,68611.8565492833
314,124753.294282306
315,226967.400520936
316,261228.088363478
317,267720.525160125
318,20118.5756577898
319,409326.932279184
320,485281.984341255
321,289286.059905093
322,164874.555078569
323,203240.949294317
324,127623.828126282
325,45289.0635288007
326,680770.818893026
327,16871.5874602494
328,226771.816566714
329,212399.656798475
330,113428.641829663
331,61487.7210153883
332,75161.2319874817
333,86626.4984533791
334,93255.926810803
335,224356.908790358
336,242063.365556454
337,111180.238415227
338,431257.106944961
339,109723.817055112
340,233636.081636947
341,764739.883778724
342,294712.294352537
343,126104.51123783
344,192552.956095523
345,173596.189905592
346,117203.532330352
347,370784.795586332
348,61980.9167584958
349,348846.615567332
350,399062.369629345
351,547983.010693483
352,241217.121008481
353,118186.673809052
354,215077.645762453
355,20810.3771410709
356,177763.047291455
357,152402.805849804
358,107355.950189505
359,55415.8646825893
360,138636.304080771
361,113501.213471696
362,58283.2935067313
363,146962.984381976
364,202932.553591054
365,69936.0632715709
366,270013.767031829
367,377595.933080048
368,159123.032629063
369,247448.122799164
370,402802.489041986
371,82904.9651629117
372,213163.166399012
